anid,remote,a1,a2,a3
0,#1264D2A4,0.714,0.958,0.731
1,#16E7D928,0.714,0.000,0.825
2,#16EF32CB,0.857,0.698,0.612
3,#16F243A7,0.286,0.750,0.776
4,#17781877,0.286,0.104,0.3
5,#19D25299,0.857,1.000,0.799
6,#1E2EC4F4,0.286,0.313,0.098
7,#221C0739,0.571,0.219,0.141
8,#259E44FF,0.857,1.000,0.731
9,#31A1B222,0.714,1.000,0.917
10,#31A38614,0.857,0.490,0.586
11,#31A93AA2,0.714,0.896,0.586
12,#31A965FD,0.857,0.885,0.74
13,#31BFA927,0.429,0.000,0.403
14,#31E070A1,0.286,0.979,0.541
15,#31E3C614,0.000,0.000,0
16,#32087248,1.000,0.969,1
17,#322B0118,0.857,0.000,0
18,#32344046,0.714,1.000,0.924
19,#32434736,0.857,0.646,0.253
20,#3243A1D0,0.000,1.000,0.757
21,#3243F889,0.857,0.990,0.711
22,#324C0C72,0.857,0.958,0.868
23,#324EB7CB,0.857,0.000,0
24,#32878C39,0.714,0.208,0.225
25,#3289F843,0.000,0.000,0
26,#32AF970A,0.286,0.938,0.539
27,#32B1E162,0.857,0.760,0.817
28,#32B7AB2E,0.571,0.396,0.618
29,#33E74B9F,0.714,0.500,0.225
30,#34F1D712,0.000,0.000,0.311
31,#3500F4C1,0.857,0.958,0.861
32,#3518BB96,0.000,0.260,0.089
33,#36BC9218,0.714,0.938,0.422
34,#36CCAB51,0.000,0.208,0.127
35,#36E372A7,0.857,0.792,0.494
36,#38093D0C,0.714,0.146,0.321
37,#38189EBE,1.000,0.938,0.962
38,#381B3615,0.571,0.938,0.825
39,#381C082C,0.714,0.938,0.868
40,#381EF5D3,0.571,0.000,0
41,#3822DEC4,0.857,0.000,0
42,#38246A76,0.857,0.938,0.634
43,#382B091A,0.714,0.490,0.253
44,#382B8093,0.571,0.677,0.281
45,#382E0B1D,0.857,0.833,0.638
46,#386E8CDA,0.143,0.896,0.553
47,#38783474,0.714,1.000,0.734
48,#387B692A,0.429,0.719,0.972
49,#387F185F,0.857,0.969,0.874
50,#38801FA7,0.000,0.521,0.794
51,#3884E25E,0.000,0.885,0.757
52,#3889AF1E,0.857,1.000,0.524
53,#388C9420,0.000,,0
54,#388E8234,0.714,0.948,0.981
55,#388E992F,0.000,0.469,0.633
56,#389004AC,0.143,0.000,0
57,#389051F9,0.857,0.969,0.924
58,#3890FB53,0.857,0.865,0.685
59,#389108A1,0.857,0.813,0.316
60,#38929339,0.857,0.896,0.444
61,#38942D81,0.714,0.990,0.48
62,#38949834,0.714,0.573,0.282
63,#3CAD9B0A,0.429,0.833,0.564
64,#3CADE677,0.857,0.906,0.359
65,#3CAE22B0,1.000,0.969,0.704
66,#3CAE31A3,0.571,0.875,0.453
67,#3CAEB426,0.857,0.938,0.612
68,#3CAEB527,0.571,1.000,0.48
69,#3CAEEE7C,0.857,0.823,0.443
70,#3CAF24B7,0.000,0.927,0.919
71,#3CAF9003,0.571,0.479,0.575
72,#3CB0F579,0.571,0.969,0.542
73,#3CB10885,0.429,0.156,0
74,#3CB1AE23,0.286,0.781,0.443
75,#3CB248C6,1.000,0.833,0.383
76,#3CB266E8,1.000,1.000,0.977
77,#3CB341CE,0.714,0.583,0.691
78,#3CB69C16,0.857,0.750,0.519
79,#3CB6B03A,1.000,0.083,0.216
80,#3CB8E367,0.000,,0
81,#3CB8E460,0.143,0.927,0.638
82,#3CB8E86C,0.714,0.688,0.313
83,#3CB928AD,0.857,0.531,0.469
84,#3CB967E2,0.857,0.969,0.902
85,#3CBC9E1E,0.857,0.969,0.586
86,#3CBEA527,0.571,0.844,0.416
87,#3CBFDC5F,0.857,0.875,0.479
88,#3CC027DB,1.000,0.844,0.817
89,#3CC0F30F,0.857,0.823,0.403
90,#3CC0F509,0.857,1.000,0.83
91,#3CC14FB2,0.714,0.667,0.384
92,#3CC1F00D,1.000,0.938,0.905
93,#3CC22ED0,0.000,0.563,0.169
94,#3CC241BF,0.571,0.677,0.553
95,#3CC39E61,0.000,0.000,0
96,#3CC457AF,0.286,0.583,0.347
97,#3CC45FA7,0.714,0.823,0.586
98,#3CC4B048,0.714,0.688,0.876
99,#3CC5936A,0.286,0.448,0.782
100,#3CC629D3,1.000,0.875,0.666
101,#3CC631CB,0.571,0.021,0
102,#3CC6778D,0.857,0.000,0.479
103,#3CC718E3,0.714,1.000,0.818
104,#3CC747BC,0.857,0.938,0.703
105,#3CC7956E,0.571,0.198,0.691
106,#3CC7DA21,0.000,0.490,0.155
107,#3CC7DC27,1.000,0.896,0.383
108,#3CC80EFA,0.000,0.063,0.177
109,#3CC853A7,0.857,0.833,0.843
110,#3CC857A3,0.571,0.979,0.524
111,#3CC9BA4F,0.857,0.958,0.316
112,#3CC9F603,0.714,0.927,0.574
113,#3CCA8375,1.000,0.740,0.632
114,#3CCAAD5B,0.571,0.646,0.155
115,#3CCB07F0,0.714,0.802,0.343
116,#3CCBBD4A,0.286,0.135,0
117,#3CCC09F9,0.714,0.375,0.35
118,#3CCC19E9,0.857,0.802,0.792
119,#3CCC1FEF,0.857,0.000,0.169
120,#3CCCFD0D,0.571,0.885,0.83
121,#3CCE07F5,0.000,0.000,0
122,#3CCED82A,0.000,0.594,0.473
123,#3CD0618D,1.000,1.000,0.15
124,#3CD0C62A,0.000,0.969,0.469
125,#3CD755BE,1.000,0.865,0.281
126,#3CD89A7E,0.571,0.823,0.494
127,#3CDACF29,0.571,0.365,0.35
128,#3CDC9373,0.714,0.948,0.473
129,#3CDECB29,0.571,0.750,0.92
130,#3CDF28CB,0.000,0.865,0.832
131,#3CDF6182,0.857,1.000,0.861
132,#3CE0B06C,0.429,1.000,0.782
133,#3CE4FC24,0.000,0.917,0.675
134,#3CE979AC,1.000,0.823,0.249
135,#3CE9DB0E,0.714,0.917,0.249
136,#3CF44E86,1.000,0.771,0.179
137,#3CFB5493,0.714,0.198,0.792
138,#3CFC8E4E,0.714,0.958,1
139,#3D0781BB,0.857,0.969,0.633
140,#3D07E1DB,0.429,0.500,0
141,#3D0D2212,0.857,1.000,0.555
142,#3D0D4474,0.000,0.469,0
143,#3D0ECFFC,0.714,1.000,0.486
144,#3D0ED2E1,0.571,0.813,0.687
145,#3D10D4F9,0.857,1.000,0.49
146,#3D12C0EF,0.857,0.771,0.509
147,#3D12CFE0,0.857,0.958,0.893
148,#3D136846,0.857,0.000,0
149,#3D144861,0.714,0.969,0.343
150,#3D1495BC,0.714,1.000,0.927
151,#3D1498B1,0.857,0.969,0.387
152,#3D150C24,0.714,0.854,0.934
153,#3D15654D,0.714,0.990,1
154,#3D15DDF5,0.714,0.208,0.145
155,#3D15FFD7,0.857,0.438,0.262
156,#3D163318,0.429,0.083,0.098
157,#3D1690BB,0.857,0.635,0.574
158,#3D16CFE4,0.000,0.208,0.15
159,#3D175B71,0.714,0.625,0.486
160,#3D191C38,0.000,0.906,0.892
161,#3D1987A3,0.286,0.635,0.576
162,#3D19C1E5,0.857,0.896,0.654
163,#3D19E7C3,0.857,0.344,0.76
164,#3D1BEDCB,0.857,0.906,0.564
165,#3D1BF8DE,0.714,1.000,0.981
166,#3D1CEACB,0.857,0.938,0.981
167,#3D20312C,0.000,0.854,0.76
168,#3D69F1A5,0.857,0.958,0.347
169,#3D6F6F3D,0.714,0.802,0.44
170,#3D769DD6,0.429,0.135,0.528
171,#3D784A0F,0.714,0.750,0.574
172,#3D78ECA9,0.857,0.927,0.513
173,#3D79D793,0.571,0.719,0.632
174,#5EB8C62,0.857,0.927,0.972
175,#7A2EC49,0.429,0.208,0.761
176,#7B79222,0.857,0.969,0.832
177,#7BA71CC,0.714,0.000,0
178,#7DC0FD4,0.286,0.000,0.905
179,#82D1732,0.571,0.969,0.542
180,#8D3FB2,0.857,0.938,0.852
181,#8D6EE3,0.714,0.469,0.829
182,#913D9C3,0.857,0.729,0.44
183,#A73295,0.857,0.260,0.155
184,#AE53ED1,0.857,0.875,0.675
185,#AF7A75A,0.857,0.875,0
186,#DAA8522,0.429,0.865,0.547
187,#DD974A,0.000,0.479,0
188,#E32300C,0.714,0.927,0.75
189,#E55560D,1.000,0.969,0.916
190,#E7D037,0.286,1.000,0.675
191,#E7D7201,0.857,0.156,0.141