anid,remote,week2,week3,week4,week5,week6,week8,week9,week11
0,#1264D2A4,1,1,1,1,1,1,1,1
1,#16E7D928,1,1,1,1,1,1,1,1
2,#16EF32CB,1,1,1,1,NA,1,1,NA
3,#16F243A7,1,1,1,1,0,1,1,1
4,#17781877,1,1,1,1,1,1,1,1
5,#19D25299,1,1,1,0,1,1,1,1
6,#1E2EC4F4,1,1,1,1,1,1,1,1
7,#221C0739,1,1,1,1,1,NA,1,1
8,#259E44FF,1,1,1,1,1,1,1,1
9,#31A1B222,1,1,1,1,NA,1,1,1
10,#31A38614,1,1,1,1,1,1,1,1
11,#31A93AA2,1,1,1,1,1,1,1,1
12,#31A965FD,1,1,1,1,0,1,0,0
13,#31BFA927,1,1,1,1,1,1,1,1
14,#31E070A1,1,1,1,1,1,1,1,1
15,#31E3C614,1,1,1,1,1,1,0,0
16,#32087248,1,0,1,1,1,1,1,1
17,#322B0118,1,1,1,1,1,NA,NA,NA
18,#32344046,1,1,1,1,1,1,1,1
19,#32434736,1,1,1,1,NA,1,1,1
20,#3243A1D0,1,NA,1,1,0,1,0,0
21,#3243F889,1,1,NA,1,1,1,1,1
22,#324C0C72,1,1,1,1,1,1,1,1
23,#324EB7CB,1,1,1,1,NA,1,1,NA
24,#32878C39,1,1,1,0,1,1,1,1
25,#3289F843,1,1,1,0,1,1,1,0
26,#32AF970A,0,1,1,0,1,1,1,0
27,#32B1E162,1,1,1,1,1,1,1,1
28,#32B7AB2E,1,1,1,1,1,1,1,1
29,#33E74B9F,1,1,1,1,1,1,1,1
30,#34F1D712,1,1,1,1,1,1,1,0
31,#3500F4C1,1,1,1,1,1,1,1,1
32,#3518BB96,NA,0,0,0,1,1,0,1
33,#36BC9218,1,1,1,1,1,1,1,0
34,#36CCAB51,1,1,1,1,1,1,1,1
35,#36E372A7,1,1,1,1,1,1,1,1
36,#38093D0C,1,1,1,1,0,1,NA,0
37,#38189EBE,1,1,1,1,1,1,1,1
38,#381B3615,1,1,1,1,1,1,1,1
39,#381C082C,1,1,1,1,1,1,1,1
40,#381EF5D3,1,1,1,0,0,0,0,0
41,#3822DEC4,1,1,1,1,1,1,0,0
42,#38246A76,1,1,1,1,1,1,1,1
43,#382B091A,1,1,1,1,1,1,1,1
44,#382B8093,1,1,1,1,1,1,1,1
45,#382E0B1D,1,1,1,1,1,1,1,1
46,#386E8CDA,1,1,1,1,1,1,1,1
47,#38783474,1,1,1,1,1,1,1,1
48,#387B692A,1,1,1,1,1,1,1,1
49,#387F185F,1,1,1,1,1,1,1,1
50,#38801FA7,0,0,0,0,0,0,0,0
51,#3884E25E,1,1,1,0,0,0,0,0
52,#3889AF1E,1,1,1,1,NA,1,1,1
53,#388C9420,1,1,1,0,0,1,0,0
54,#388E8234,1,1,1,1,1,1,1,1
55,#388E992F,1,0,1,1,1,1,1,0
56,#389004AC,1,0,1,0,0,1,0,1
57,#389051F9,1,1,1,1,1,1,1,1
58,#3890FB53,1,1,1,1,1,1,1,1
59,#389108A1,1,1,1,1,1,1,1,1
60,#38929339,1,1,1,1,1,0,1,0
61,#38942D81,1,1,1,1,1,1,1,1
62,#38949834,1,1,0,1,1,1,1,1
63,#3CAD9B0A,1,1,1,1,1,1,1,1
64,#3CADE677,1,1,1,1,0,1,1,1
65,#3CAE22B0,1,1,1,1,1,1,0,1
66,#3CAE31A3,1,1,1,1,1,1,1,1
67,#3CAEB426,1,1,1,1,1,1,1,NA
68,#3CAEB527,1,1,1,1,1,1,1,1
69,#3CAEEE7C,1,1,1,1,1,1,1,1
70,#3CAF24B7,1,0,1,0,0,0,0,0
71,#3CAF9003,1,1,1,1,1,1,1,1
72,#3CB0F579,1,1,1,1,1,1,1,1
73,#3CB10885,1,1,1,1,1,1,0,1
74,#3CB1AE23,1,1,1,1,1,1,1,1
75,#3CB248C6,1,1,1,1,1,1,1,1
76,#3CB266E8,1,1,1,1,1,1,1,1
77,#3CB341CE,1,1,1,1,1,1,1,1
78,#3CB69C16,1,1,1,1,1,1,1,1
79,#3CB6B03A,1,1,1,1,1,1,1,1
80,#3CB8E367,NA,1,1,1,1,1,1,0
81,#3CB8E460,1,1,1,1,1,1,1,1
82,#3CB8E86C,1,1,1,1,1,1,1,1
83,#3CB928AD,1,0,1,1,1,1,0,1
84,#3CB967E2,1,1,1,NA,1,1,1,1
85,#3CBC9E1E,1,1,1,1,1,1,1,1
86,#3CBEA527,1,1,1,1,1,1,1,1
87,#3CBFDC5F,1,1,1,1,1,1,1,1
88,#3CC027DB,1,1,1,1,1,1,1,1
89,#3CC0F30F,1,1,1,0,NA,1,0,1
90,#3CC0F509,1,1,1,1,1,1,1,1
91,#3CC14FB2,1,1,1,NA,NA,NA,NA,NA
92,#3CC1F00D,1,1,1,1,1,1,1,1
93,#3CC22ED0,0,1,1,0,1,NA,1,1
94,#3CC241BF,1,1,1,1,1,NA,1,0
95,#3CC39E61,1,1,1,1,1,1,1,1
96,#3CC457AF,1,1,1,1,1,1,1,1
97,#3CC45FA7,1,1,1,1,1,1,1,1
98,#3CC4B048,1,1,1,1,1,1,1,1
99,#3CC5936A,1,1,1,1,1,1,1,1
100,#3CC629D3,1,1,1,1,1,1,1,1
101,#3CC631CB,1,0,1,0,1,NA,0,0
102,#3CC6778D,1,1,1,1,1,1,1,1
103,#3CC718E3,NA,1,1,1,NA,1,1,NA
104,#3CC747BC,1,1,1,0,1,1,NA,1
105,#3CC7956E,1,1,1,0,1,1,1,1
106,#3CC7DA21,1,1,0,1,1,1,0,1
107,#3CC7DC27,1,1,1,1,1,1,1,1
108,#3CC80EFA,1,1,1,1,1,1,1,1
109,#3CC853A7,1,1,1,1,1,1,1,1
110,#3CC857A3,1,1,1,1,1,1,1,1
111,#3CC9BA4F,1,1,1,1,1,1,1,1
112,#3CC9F603,1,1,1,1,1,1,1,1
113,#3CCA8375,1,1,1,1,1,1,1,1
114,#3CCAAD5B,1,1,1,1,0,1,1,1
115,#3CCB07F0,1,1,1,1,1,1,1,1
116,#3CCBBD4A,1,1,1,1,1,1,1,1
117,#3CCC09F9,NA,NA,1,1,0,1,1,1
118,#3CCC19E9,1,1,1,1,1,NA,1,1
119,#3CCC1FEF,0,1,1,0,1,NA,1,1
120,#3CCCFD0D,1,1,1,1,1,1,1,1
121,#3CCE07F5,0,1,0,1,NA,0,1,NA
122,#3CCED82A,1,1,1,1,1,1,1,1
123,#3CD0618D,1,1,1,1,1,0,0,1
124,#3CD0C62A,0,0,1,1,1,1,0,1
125,#3CD755BE,1,1,1,1,0,1,1,1
126,#3CD89A7E,1,1,1,1,1,1,1,1
127,#3CDACF29,NA,1,1,1,1,NA,1,NA
128,#3CDC9373,0,1,0,1,1,1,1,1
129,#3CDECB29,1,1,1,1,1,1,1,1
130,#3CDF28CB,1,1,1,1,1,1,1,1
131,#3CDF6182,1,1,1,1,1,1,1,1
132,#3CE0B06C,1,1,1,1,1,1,1,1
133,#3CE4FC24,1,1,1,1,1,1,1,1
134,#3CE979AC,1,1,1,1,1,1,1,1
135,#3CE9DB0E,1,1,1,1,1,1,1,1
136,#3CF44E86,1,1,1,1,1,1,1,1
137,#3CFB5493,1,1,1,1,1,1,0,0
138,#3CFC8E4E,1,0,1,1,1,1,1,1
139,#3D0781BB,1,1,1,1,1,1,1,1
140,#3D07E1DB,1,1,1,1,1,1,0,1
141,#3D0D2212,1,1,1,1,1,1,1,1
142,#3D0D4474,1,1,1,0,1,1,1,1
143,#3D0ECFFC,1,1,1,1,1,1,1,1
144,#3D0ED2E1,1,1,1,1,1,1,1,1
145,#3D10D4F9,1,1,1,1,1,1,1,1
146,#3D12C0EF,1,1,1,1,1,1,1,1
147,#3D12CFE0,1,1,1,1,1,1,1,1
148,#3D136846,1,1,1,NA,NA,NA,NA,NA
149,#3D144861,1,1,1,1,1,1,1,1
150,#3D1495BC,1,1,1,1,1,1,1,1
151,#3D1498B1,1,1,1,1,1,1,1,1
152,#3D150C24,1,1,1,1,1,1,1,1
153,#3D15654D,1,1,1,1,1,1,1,1
154,#3D15DDF5,1,1,1,1,1,1,1,1
155,#3D15FFD7,1,1,1,1,1,1,1,1
156,#3D163318,1,1,1,1,1,1,1,1
157,#3D1690BB,1,1,1,1,1,1,1,1
158,#3D16CFE4,1,1,1,1,1,1,1,1
159,#3D175B71,1,1,1,1,1,1,1,1
160,#3D191C38,1,1,1,1,1,1,1,1
161,#3D1987A3,1,1,1,1,1,1,1,0
162,#3D19C1E5,NA,1,1,1,1,1,1,1
163,#3D19E7C3,1,1,1,NA,NA,NA,NA,NA
164,#3D1BEDCB,1,1,1,1,1,1,1,1
165,#3D1BF8DE,1,1,1,1,1,1,1,1
166,#3D1CEACB,1,1,1,1,1,1,1,1
167,#3D20312C,1,1,1,NA,NA,NA,NA,NA
168,#3D69F1A5,1,1,1,1,1,1,1,1
169,#3D6F6F3D,1,1,1,1,1,1,1,1
170,#3D769DD6,1,1,0,1,0,0,0,0
171,#3D784A0F,1,1,1,1,1,NA,1,1
172,#3D78ECA9,1,1,1,1,1,0,NA,1
173,#3D79D793,1,1,1,1,1,1,1,1
174,#5EB8C62,1,1,1,1,1,1,1,1
175,#7A2EC49,1,1,1,1,1,1,0,1
176,#7B79222,1,1,1,1,1,1,1,1
177,#7BA71CC,0,0,0,0,0,0,0,0
178,#7DC0FD4,1,1,1,1,1,NA,1,NA
179,#82D1732,1,1,1,1,1,1,1,1
180,#8D3FB2,1,1,1,1,1,1,1,1
181,#8D6EE3,1,1,1,1,1,1,1,1
182,#913D9C3,1,1,1,1,1,1,1,1
183,#A73295,1,1,1,1,1,1,1,1
184,#AE53ED1,1,1,1,1,1,1,1,1
185,#AF7A75A,1,1,1,1,1,1,1,0
186,#DAA8522,1,1,1,1,1,1,1,1
187,#DD974A,1,1,1,0,1,1,1,0
188,#E32300C,1,1,1,1,1,1,1,1
189,#E55560D,1,1,1,1,1,1,1,1
190,#E7D037,1,1,1,1,1,1,1,1
191,#E7D7201,1,1,1,1,1,1,1,1