anid,remote,midterm
199,#82A5B295,0.552
268,#8E6C0EEC,0.634
193,"['#08B848F8', '#8B848F8']",0.739
160,#8D984B5E,0.724
15,#8561997D,0.664
305,#851429B8,0.649
280,#821ACE56,0.463
224,#9991BEB6,0.53
122,#8D886762,0.701
13,#9A924F47,0.91
53,#34C39265,0.799
267,#8627C667,0.522
334,#21FB70AA,0.366
275,#95791DF1,0.687
99,#860A28A4,0.716
271,#8398E8F3,0.448
32,#8E6AF216,0.873
150,#1E3D193A,0.575
298,#863CCE74,0.56
153,#9A8ADCCC,0.619
8,#8E85EEE5,0.821
236,#8FAD6A48,0.694
320,#8FAC3714,0.463
85,#8B051C92,0.851
262,#983302A9,0.47
25,#85A7C1E3,0.851
292,#83029B1A,0.612
56,#969F9099,0.858
176,#84726C9A,0.634
1,#9F3C3D9E,0.896
326,#8E832A27,0.53
168,#8FDADB8E,0.687
90,#8E1456CC,0.567
146,#8428C569,0.649
79,#8227DC79,0.701
163,#8629238C,0.672
126,#8AD94A19,0.731
170,#862166C1,0.642
316,#8ED5DC87,0.53
57,#90DA3F75,0.657
318,#8FA84E69,0.687
51,#910E47D8,0.754
291,#862CF953,0.552
287,#846F42A9,0.507
50,#97C8025D,0.769
247,#325892F8,0.709
238,#8DCAF4B3,0.582
255,#84743ECE,0.545
44,#8E00119F,0.724
324,#8ACCF1B7,0.612
233,#8FA2331E,0.567
222,#8211A033,0.597
207,#897748B6,0.761
169,#82ED016E,0.493
221,#8613D045,0.687
19,#8DFCC2B3,0.843
156,#1DF7C42E,0.604
185,#8EC4703A,0.687
112,#85017CF8,0.746
128,#86219037,0.687
289,#8EBF0D3C,0.545
304,#8A67B459,0.47
297,#8AF0205A,0.53
183,#8F7822D5,0.612
303,#84C40444,0.582
186,#930E6CF1,0.657
281,#8E9D4A59,0.5
60,#85CD8CC4,0.731
94,#911079F8,0.701
202,#97C8B4EB,0.784
65,#97CC1843,0.828
314,#8224F452,0.515
144,#89CDA2E6,0.836
219,#833C239C,0.493
145,#9155995D,0.701
114,#82E5F196,0.769
72,#8E99BCAB,0.694
325,#8EC2D995,0.366
52,#9AB2B39B,0.851
285,#8EE2305C,0.552
204,#85F30E78,0.672
70,#830443C4,0.866
283,#97400ED9,0.552
172,#8F9BC6D2,0.694
215,#84309125,0.746
256,#83E6B5D0,0.679
300,#8AB9FAC9,0.47
332,#8A789B69,0.5
3,"['#0145CE8A', '#145CE8A']",0.866
249,#8E12E874,0.53
154,#9A2D0BBC,0.821
184,#982D5BEE,0.53
9,#84B52918,0.91
279,#83439555,0.552
308,#8608EF61,0.44
96,#9A988F8D,0.731
113,#85DB712F,0.634
31,#86373584,0.881
123,#982A79CB,0.716
333,#82F8FC86,
58,#9D4F5785,0.701
82,#8E124BD7,0.888
174,#83424C8D,0.709
159,#8FAB6F4B,0.709
38,"['#010C111C', '#10C111C']",0.851
317,"['#0586E162', '#586E162']",0.478
24,#983D68CD,0.821
84,#9D6B689E,0.731
39,#9A4B9B4A,0.903
20,#9A8E3723,0.761
138,#8ECF3273,0.724
266,#8B140699,0.597
86,#1E707618,0.784
54,#8F80949B,0.828
242,#820E0488,0.507
105,#8FA67F56,0.873
40,#8E14EC76,0.776
167,#9A5576B9,0.701
116,#8619B728,0.813
228,#85C67E3D,0.724
210,#85A77D5F,0.567
77,#91524E8D,0.813
30,#9A97E2EF,0.739
181,#8EB3C4F9,0.687
101,#9A99E5E6,0.731
107,#867A7985,0.687
46,#963504A7,0.91
263,#8E76A159,0.358
253,#8E6FF716,0.739
270,#8A01CB40,0.597
152,#8FB7B088,0.627
229,#8A2343EA,0.754
142,#86E40664,0.761
133,#9A9B8081,0.575
14,"['#8F2100AE', '#898FB5B3']",0.791
7,#89C86B2A,0.739
240,#826C42AC,0.41
198,#8B3A1BAA,0.619
104,#8470D024,0.739
241,#853EF249,0.634
67,#855D66BE,0.836
265,#82F23A4A,0.59
121,#82AD3817,0.642
26,#8FA2624F,0.694
148,#97C8F7A8,0.575
12,#8E94F0EA,0.754
205,#8E032AA7,0.634
49,#8A2CA107,0.858
223,#98304EE6,0.619
41,#858D727A,0.716
251,"['#005CD985', '#05CD985']",0.649
111,#974816C9,0.567
119,#84712EDB,0.739
191,#3A62CB93,0.642
37,#847C9B63,0.776
246,#85B5E7D7,0.522
17,#930E61FC,0.843
235,#8549CD01,0.642
217,#8DD1570B,0.552
166,#1DF7FE14,0.672
328,#848EB5BF,0.336
194,#8E0CEE6C,0.694
42,#85722FD8,0.776
214,#84310FBA,0.679
310,#84EBF09F,0.493
261,#8FAAF2D7,0.634
78,#8E13E27F,0.799
73,#913A06AD,0.769
59,#8A7906F5,0.739
2,#9748AF70,0.94
131,#864078BE,0.604
272,#9A950F00,0.59
35,#8E1969FE,0.821
173,#84349828,0.53
11,#37FF4F87,0.955
257,#1C4B7225,0.59
61,#96D987C8,0.746
157,#8B070B87,0.672
36,#822B75DC,0.851
237,#845F479C,0.634
100,#9D4DBF6F,0.724
274,#83049B1C,0.545
6,#8E6C6B89,0.918
10,#8E395EE9,0.903
264,#9740D304,0.604
180,#85BCF8C1,0.672
286,#8560C025,0.545
63,#96B193B4,0.813
34,#8FBB6155,0.799
230,#84290CA1,0.44
220,#9A4D8D5A,0.627
66,#86017AFD,0.769
161,#88D8FCAC,0.627
226,#8E12910D,0.493
225,#9609FF60,0.582
335,#862B04A9,0.403
62,#8E77B44D,0.799
4,#8A2C45E3,0.918
45,#84505387,0.716
218,#383B1C1F,0.396
322,#90D493D7,0.485
277,#82527AAA,0.493
21,#8E5BE633,0.843
252,#8E778871,0.687
231,#8EDC5B09,0.59
179,"['#08D98657', '#8D98657']",0.664
296,#862F339A,0.522
254,#83018301,0.425
155,#8891839A,0.731
48,#82518350,0.918
139,#8940FE37,0.709
132,#8E7552A9,0.799
87,#9A326BC3,0.649
315,#8F8A8D88,0.582
201,#96AF96AF,0.664
294,#8E1662FA,0.507
149,#8590FEEB,0.731
115,#82F5B8CF,0.597
327,#840C4BC3,0.5
260,#8AD7613C,0.575
136,#8E9EE9F9,0.716
143,#9A9E4E4A,0.694
212,#9551B773,0.597
18,#8338CA71,0.784
239,#89D85B0A,0.575
195,#9A82ABB3,0.545
313,#907FD33C,0.47
307,#8E7215E9,0.537
125,#84C11752,0.754
135,"['#0E49A0E7', '#E49A0E7']",0.672
140,#9634389A,0.761
171,#877D24DE,0.627
187,#888C2D29,0.537
43,"['#05FCDA23', '#5FCDA23']",0.836
250,#8E9B4752,0.552
301,#83476FAB,0.507
295,#824ED61A,0.806
75,#830B850D,0.948
206,#8E8AA2A6,0.582
177,#983153FA,0.761
64,"['#06089799', '#6089799']",0.843
189,#92ED8EF1,0.679
147,#83E36303,0.642
23,#8EB8DCEA,0.858
47,#912640F7,0.687
93,#96E190E7,0.806
248,#82B6ECD8,0.425
0,#8E1CEB79,0.978
244,#8D7FB042,0.575
97,#90B19BBA,0.746
321,#96FCD7BD,0.522
5,#855EE932,0.933
102,#9F27843C,0.619
278,#84252E8F,0.716
331,#84B6D7E5,0.366
302,#8623B613,0.575
216,#8568F31E,0.634
190,#8DAFE1C3,0.701
130,#9233CE6F,0.724
306,#85C80D40,0.582
329,#82FDC5BA,0.485
175,#1C5B793E,0.724
108,#86229D39,0.664
188,#90626290,0.657
106,#8E859299,0.799
124,#96BE072F,0.843
227,#86353083,0.485
243,#85DAEFB0,0.687
55,#84151B8A,0.821
71,#85BDECD4,0.813
137,#8EFF1869,0.746
158,#84727680,0.821
129,#82E0A1C3,0.731
337,#84F92D50,0.343
213,#8F3BB80C,0.672
162,#833C8F30,0.627
259,"['#0932C3F8', '#932C3F8']",0.59
28,#842FB51E,0.739
91,#85EAE689,0.701
336,#8E14CF55,
178,#8EA6775F,0.769
200,#838BB7BF,0.515
69,#90C13968,0.858
273,#90706181,0.657
311,#8AB3A39A,0.388
203,#9A8B1607,0.694
92,#8E7954A3,0.701
284,#8272A555,0.418
76,#906658AE,0.836
110,#825BC811,0.746
165,#9A888B99,0.716
120,#983C3397,0.664
68,#8FC0A8E7,0.679
232,#8ABCA395,0.649
182,#84110F9A,0.604
312,#8DAB7C5A,0.582
192,#82A84B61,0.582
299,#83B7E2D6,0.463
309,#8E74A65C,0.448
27,#8DF9D7A3,0.791
16,#84855958,0.925
98,#84756E9F,0.866
103,#8626C666,0.515
245,#860BC64B,0.612
127,#97C9CF91,0.784
109,#8E6D3FDC,0.731
134,#82E36E0F,0.813
22,#8E79A255,0.769
164,#8D7AE017,0.731
95,#81F480F5,0.761
276,#16E18473,0.522
211,#971151D7,0.604
282,#8E9DB1A2,0.537
81,#84A8F9D5,0.769
117,#9ACDE3B4,0.627
330,#86194BD4,0.418
83,"['#0FA5319B', '#FA5319B']",0.836
151,#8FAF6141,0.687
88,#97CC0F54,0.821
89,#97D7D090,0.694
293,#84F7097A,0.545
141,#8ED6247C,0.679
29,#83C7E8AC,0.761
269,#97C4E9BA,0.597
74,#95FA2E41,0.716
288,#88815C55,0.373
118,#8E701EE0,0.619
80,#83E83C57,0.873
234,#84EBCAA5,0.59
33,#8E12A63A,0.896
323,#81A2B497,0.463
197,#9072D230,0.701
209,#3BFB8040,0.694
196,#916E20DF,0.604
290,#821B3DA4,0.448
208,#84A496B6,0.619
338,#974B865A,0.388
319,#8618DF41,0.634
258,#9A4335EC,0.604
