anid,cse30,cse140,cse140l
100,A  ,A  ,A  
101,C  ,D  ,B- 
102,#N/A,A+ ,A+ 
103,A  ,A  ,A  
104,B+ ,B  ,A+ 
105,#N/A,A+ ,A+ 
106,A+ ,A  ,A+ 
107,B  ,A  ,B- 
108,A- ,B+ ,A- 
109,P  ,A  ,B- 
110,A  ,B  ,A- 
111,A  ,A- ,B+ 
112,B+ ,C+ ,C+ 
113,A- ,B+ ,B+ 
114,B- ,A  ,C- 
115,#N/A,#N/A,#N/A
116,A  ,C+ ,B  
117,A+ ,A  ,B  
118,B  ,A- ,C+ 
119,B- ,A- ,A  
120,A  ,A  ,B  
121,#N/A,A  ,A+ 
122,A  ,B+ ,B- 
123,A  ,A  ,C+ 
124,A  ,A+ ,A  
125,A- ,C+ ,B  
126,B+ ,B+ ,D  
127,#N/A,#N/A,#N/A
128,C  ,B+ ,A  
129,B+ ,A- ,B  
130,#N/A,A  ,A  
131,A  ,A  ,B  
132,C+ ,B- ,B- 
133,A  ,B- ,B- 
134,B+ ,A  ,A  
135,B  ,C+ ,B  
136,A- ,A  ,A  
137,B  ,B  ,C  
138,A- ,A- ,B  
139,B+ ,B  ,B+ 
140,A  ,A  ,B- 
141,A- ,C- ,B  
142,B+ ,B  ,B- 
143,A  ,A- ,B- 
144,B- ,A  ,B  
145,B  ,A+ ,A- 
146,B- ,A  ,B+ 
147,A  ,B+ ,B+ 
148,B+ ,A- ,B  
149,#N/A,B  ,B  
150,B  ,A  ,B  
151,C  ,B- ,B  
152,A  ,B+ ,B  
153,A- ,A  ,B+ 
154,P  ,A  ,B+ 
155,B  ,A  ,W  
156,A  ,A  ,B  
157,#N/A,#N/A,B- 
158,A- ,A  ,C+ 
159,B+ ,A- ,A- 
160,B  ,W  ,B+ 
161,#N/A,#N/A,#N/A
162,C- ,B  ,B+ 
163,#N/A,#N/A,#N/A
164,A- ,B+ ,B  
165,A- ,A  ,B- 
166,B  ,C  ,B  
167,A  ,A  ,A- 
168,B+ ,B+ ,B  
169,#N/A,B+ ,C  
170,B+ ,B  ,B  
171,A- ,B  ,C- 
172,A  ,B- ,A  
173,C+ ,C+ ,C  
174,B- ,C- ,B+ 
175,#N/A,A- ,A- 
176,B+ ,C+ ,B- 
177,A- ,A  ,B+ 
178,#N/A,B- ,C  
179,#N/A,A- ,B+ 
180,A  ,A- ,A+ 
181,B+ ,A- ,B  
182,A  ,B- ,B  
183,A  ,A  ,C+ 
184,#N/A,C  ,C- 
185,C+ ,A- ,C  
186,B+ ,B+ ,C- 
187,C+ ,A- ,C  
188,B+ ,A  ,B  
189,A  ,B+ ,B  
190,B  ,B+ ,C  
191,B  ,B- ,C  
192,#N/A,B- ,C  
193,B- ,B- ,B+ 
194,B- ,A  ,A  
195,C  ,B- ,C- 
196,B+ ,A- ,C- 
197,B+ ,A- ,C  
198,A  ,B  ,C- 
199,B  ,A- ,C  
200,#N/A,#N/A,#N/A
201,B+ ,C  ,B  
202,A- ,C  ,B  
203,A  ,A  ,A  