anid,readingq1,readingq2,readingq3,readingq4,readingq5
0,100,100,100,100,100
1,100,100,100,100,100
2,100,100,100,100,100
3,100,100,NA,100,100
4,100,100,100,100,100
5,100,100,100,100,100
6,NA,NA,NA,NA,NA
7,100,100,100,75,80
8,100,100,100,100,100
9,100,100,75,100,100
10,100,NA,100,NA,NA
11,100,100,100,75,100
12,100,NA,100,100,100
13,100,100,75,100,100
14,100,100,100,100,100
15,100,100,100,100,100
16,100,100,100,100,100
17,100,100,50,50,100
18,100,100,100,100,100
19,100,100,100,100,100
20,100,NA,100,100,100
21,100,100,100,100,100
22,100,100,100,75,100
23,80,100,100,75,100
24,100,100,50,NA,100
25,100,NA,100,100,100
26,100,80,75,100,80
27,100,100,100,100,100
28,100,NA,100,100,100
29,100,NA,100,100,100
30,100,100,75,100,100
31,100,NA,100,NA,80
32,80,NA,NA,75,NA
33,80,NA,100,100,100
34,80,80,50,75,60
35,100,100,100,100,60
36,100,100,100,100,100
37,100,100,100,100,100
38,100,100,100,75,80
39,100,100,100,75,100
40,100,100,100,100,100
41,100,100,100,100,100
42,100,100,100,100,100
43,100,100,100,NA,100
44,100,100,75,100,60
45,80,NA,75,100,60
46,100,100,100,75,80
47,NA,100,75,100,100
48,100,100,100,75,100
49,100,100,75,100,100
50,100,100,100,100,60
51,100,100,75,100,100
52,100,100,100,100,100
53,100,100,75,75,100
54,100,100,100,100,100
55,60,80,50,75,100
56,100,100,100,100,100
57,100,100,NA,100,100
58,100,100,100,100,100
59,80,100,75,75,80
60,100,100,100,75,100
61,100,NA,100,NA,60
62,80,NA,75,100,100
63,100,100,75,75,100
64,20,100,75,75,100
65,100,100,100,100,100
66,100,100,100,100,100
67,100,100,100,75,80
68,100,100,100,100,100
69,80,100,100,100,100
70,NA,100,100,100,100
71,100,100,100,100,100
72,100,100,100,100,80
73,80,100,100,75,100
74,100,100,75,100,100
75,100,100,100,100,100
76,80,NA,100,100,100
77,100,100,75,100,100
78,100,100,100,25,100
79,100,NA,100,100,100
80,100,100,100,75,100
81,100,100,100,100,100
82,NA,NA,100,100,100
83,100,NA,100,100,100
84,100,100,75,100,100
85,100,100,75,100,100
86,NA,100,25,75,100
87,80,100,100,75,100
88,100,100,75,NA,100
89,80,NA,50,NA,100
90,100,100,100,100,100
91,100,100,100,100,100
92,100,100,100,75,100
93,100,100,75,75,80
94,100,100,100,75,100
95,100,100,75,75,100
96,80,NA,100,NA,80
97,100,80,100,75,100
98,100,100,100,75,100
99,100,100,100,100,100
100,100,100,75,100,100
101,100,100,100,100,100
102,100,NA,100,100,100
103,NA,NA,100,75,100
104,80,100,NA,NA,100
105,100,100,100,100,100
106,NA,80,25,100,NA
107,100,100,100,100,100
108,100,100,75,75,40
109,100,100,75,75,100
110,100,100,100,NA,80
111,100,100,100,75,100
112,100,100,100,100,100
113,100,100,50,NA,100
114,100,NA,100,100,100
115,100,100,100,100,100
116,100,100,100,75,100
117,80,NA,50,75,100
118,100,100,100,100,100
119,NA,100,100,100,NA
120,100,100,75,50,100
121,100,100,100,100,100
122,100,100,100,NA,100
123,100,100,100,100,100
124,100,100,100,100,100
125,100,100,100,100,100
126,100,100,100,100,100
127,100,100,100,100,100
128,NA,100,75,NA,100
129,100,100,100,75,100
130,100,100,NA,100,100
131,100,NA,75,100,100
132,80,100,75,100,100
133,100,100,100,75,100
134,100,100,100,NA,80
135,100,100,100,100,100
136,100,100,100,75,100
137,100,100,75,100,80
138,100,100,100,100,100
139,100,100,100,75,100
140,100,100,75,NA,100
141,100,NA,50,NA,100
142,100,100,100,100,100
143,100,100,100,75,80
144,100,100,100,100,100
145,100,100,100,75,60
146,100,100,100,100,100
147,NA,100,100,100,100
148,100,100,100,100,100
149,100,100,100,100,100
150,100,100,100,100,100
151,100,100,100,100,100
152,100,NA,100,100,100
153,100,100,100,100,100
154,100,100,75,75,NA
155,100,NA,75,100,80
156,60,100,50,100,80
157,100,100,100,100,100
158,100,100,75,NA,100
159,80,NA,75,100,100
160,80,NA,75,75,40
161,100,100,100,100,100
162,100,100,75,100,100
163,100,NA,100,100,80
164,100,100,100,NA,60
165,100,100,50,100,80
166,100,80,100,100,100
167,100,100,100,100,100
168,100,100,100,100,100
169,100,100,100,100,60
170,100,100,100,100,100
171,100,100,75,100,100
172,100,100,100,100,100
173,100,100,NA,100,100
174,100,100,100,100,100
175,100,100,100,75,100
176,100,NA,100,50,100
177,100,100,100,100,100
178,NA,80,50,75,100
179,100,100,100,100,100
180,NA,100,100,100,100
181,100,100,100,100,100
182,100,100,100,100,100
183,100,100,100,100,100
184,100,80,75,75,80
185,100,100,100,75,80
186,100,100,100,100,100
187,100,100,100,75,100
188,100,100,100,NA,80
189,100,100,100,100,100
190,100,100,100,100,100
191,100,100,100,100,100
192,100,100,50,100,100
193,100,100,100,100,100
200,100,100,100,75,100
201,100,100,100,75,100
202,100,100,75,75,80
203,80,NA,100,100,100
204,100,100,100,100,100
205,100,100,75,75,100
206,100,100,75,100,100
207,100,100,100,100,NA
208,100,100,100,100,80
209,100,100,100,100,100
210,100,100,100,100,100
211,80,100,100,100,100
212,100,100,100,100,100
213,100,100,NA,100,100
214,100,100,100,100,NA
215,100,NA,100,100,80
216,100,100,100,100,100
217,80,100,75,100,80
218,100,NA,75,100,100
219,100,100,100,NA,100
220,100,100,100,100,100
221,100,100,100,100,100
222,100,100,100,100,100
223,100,100,100,NA,100
224,100,100,100,75,100
225,100,100,NA,100,100
226,100,100,75,100,100
227,100,100,100,100,100
228,100,100,100,100,100
229,100,100,100,100,100
230,100,100,100,100,100
231,100,100,100,100,100
232,100,NA,100,100,80
233,100,100,100,100,100
234,80,100,100,NA,100
235,NA,NA,100,100,100
236,100,100,100,100,100
237,NA,NA,100,100,100
238,100,100,100,100,100
239,100,100,100,100,100
240,100,100,100,100,100
241,100,100,100,100,100
242,100,80,100,75,60
243,NA,100,100,100,100
244,80,100,100,75,100
245,80,100,75,75,100
246,60,60,100,100,80
247,100,100,100,100,100
248,100,100,100,NA,100
249,100,100,100,100,100
250,100,100,100,NA,100
251,100,100,100,100,100
252,100,100,100,NA,80
253,NA,80,100,75,80
254,100,100,100,75,60
255,100,100,75,100,100
256,100,NA,75,100,100
257,100,100,100,NA,40
258,NA,100,75,NA,100
259,100,100,100,100,100
260,100,NA,100,100,100
261,80,100,100,100,100
262,100,100,100,100,100
263,NA,NA,NA,75,100
264,100,NA,100,100,100
265,100,100,100,NA,100
266,100,100,100,100,100
267,100,NA,75,100,100
268,100,100,100,25,100
269,100,NA,100,100,80
270,100,80,75,100,100
271,100,NA,100,75,NA
272,100,100,NA,100,100
273,100,100,75,100,100
274,100,100,100,100,100
275,100,100,100,100,100
276,100,100,100,100,NA
277,100,100,75,100,100
278,100,100,100,100,100
279,100,100,100,75,100
280,100,100,100,100,100
281,100,100,100,100,100
282,100,100,100,100,100
283,100,100,100,NA,80
284,100,100,50,75,80
285,100,100,100,100,100
286,80,100,50,100,60
287,100,100,75,100,80
288,100,100,100,100,100
289,100,100,50,100,100
290,100,100,75,100,100
291,100,100,100,100,100
292,100,100,100,100,100
293,NA,100,50,75,100
294,100,40,100,100,60
295,80,100,100,100,100
296,100,100,75,100,80
297,100,100,50,100,100
298,100,100,100,75,80
299,100,80,100,50,80
300,100,100,100,100,100
301,100,100,100,100,100
302,80,100,100,100,100
303,100,100,100,100,100
304,100,100,100,100,100
305,100,100,100,100,100
306,100,NA,100,75,80
307,100,100,100,100,100
308,100,100,100,NA,100
309,100,100,100,100,100
310,100,100,100,75,100
311,100,100,100,100,100
312,100,100,100,100,100
313,100,100,50,75,100
314,80,100,100,100,100
315,NA,100,100,100,100
316,100,100,100,100,100
317,NA,NA,100,75,100
318,100,100,100,100,100
319,100,100,100,100,100
320,100,100,100,100,100
321,100,100,100,100,100
322,100,80,75,100,100
323,100,NA,75,100,80
324,100,100,100,100,100
325,100,100,100,100,100
326,100,NA,100,100,100
327,100,100,100,100,100
328,100,100,100,100,100
329,100,100,100,100,100
330,100,100,NA,50,80
331,100,100,100,100,100
332,100,100,100,75,100
333,100,100,100,100,100
334,100,100,100,100,100
335,100,100,75,50,100
336,80,NA,100,75,60
337,100,100,100,100,100
338,100,NA,100,100,80
339,100,100,100,NA,100
340,80,NA,75,100,100
341,100,100,100,75,NA
342,100,100,50,100,100
343,100,NA,75,100,100
344,100,100,100,100,100
345,100,100,100,100,100
346,100,100,100,100,100
347,100,100,75,100,100
348,NA,100,100,75,100
349,100,100,100,NA,100
350,NA,NA,100,100,100
351,100,100,100,100,100
352,60,100,NA,100,100
353,100,100,75,75,80
354,100,100,100,100,100
355,NA,100,100,75,100
356,100,NA,100,NA,100
357,100,100,100,100,100
358,100,100,100,NA,100
359,100,NA,75,100,100
360,NA,100,75,NA,60
361,100,100,100,100,80
362,100,100,100,100,100
363,100,100,100,75,100
364,100,100,100,75,100
365,80,100,100,100,60
366,100,NA,75,100,100
367,100,80,100,75,100
368,100,100,100,100,100
369,100,100,100,75,80
370,NA,100,100,100,100
371,100,100,75,100,100
372,100,100,100,75,80
373,100,NA,75,100,100
374,100,100,100,25,60
375,100,100,100,100,100
376,100,80,100,75,80
377,100,100,50,100,100
378,100,100,100,100,100
